run,edge_weight_pearsonr,pearsonr_pvalue,n_shared_edges,node_degree_spearmanr,spearmanr_pvalue,n_shared_nodes
128_rep1,0.844748216078379,0.0,6447,0.6104282933705494,0.0,5897
128_rep2,0.8500138048674932,0.0,6222,0.6100609462047694,0.0,5919
128_rep3,0.8386038318433536,0.0,6608,0.5902003614082865,0.0,6105
128_rep4,0.8436693599014755,0.0,6909,0.6078992498646427,0.0,6197
032_rep1,0.7801308399855014,0.0,8609,0.4503238923300049,0.0,6472
064_rep1,0.8395433130830177,0.0,6181,0.6319907860282076,0.0,5876
096_rep1,0.8470911481766683,0.0,6166,0.6217612427996836,0.0,5875
124_rep1,0.8501282458182382,0.0,6289,0.6054820214479468,0.0,5997
132_rep1,0.8475246347934413,0.0,6008,0.6159967693499886,0.0,5783
160_rep1,0.849158054979621,0.0,6308,0.6161291670909018,0.0,5945
192_rep1,0.8511165516570373,0.0,6740,0.5879261535984748,0.0,6075
256_rep1,0.815373113151237,0.0,8465,0.5211327416183056,0.0,6447
512_rep1,0.7519171736876198,0.0,11182,0.093433775567011,4.623637152823072e-14,6490
