run,node_jaccard,edge_jaccard,G1_shared_median,G1_only_median,G2_shared_median,G2_only_median,n_differing_edges,n_differing_edges_skipped,differing_frac_triangle_d2,differing_frac_square_d3,differing_frac_unreachable,random_frac_triangle_d2,random_frac_square_d3,random_frac_unreachable,prop_CN_ge1_differing,prop_CN_ge1_random,prob_superiority,p_greater,ARI_common_subgraph,NMI_common_subgraph,AMI_common_subgraph
032_rep1,0.8492323842015483,0.1021064117465664,0.7053840616558219,0.6310748239794098,0.6559234107465113,0.6207518412026649,5958,24,0.6555891238670695,0.25629405840886205,0.08811681772406849,0.03592,0.20648,0.7576,0.6555891238670695,0.03592,0.8152735448136958,0.0,0.18580072992734017,0.4550703630283116,0.36801112759859084
064_rep1,0.8301780163888104,0.26559814369199036,0.6822297909292088,0.6239638498268222,0.6773979692473922,0.6221305849911178,7328,1082,0.38919213973799127,0.21820414847161573,0.392603711790393,0.00364,0.01182,0.98454,0.38919213973799127,0.00364,0.6929966348253275,0.0,0.2816745653577133,0.6821749716521317,0.5138787305962023
096_rep1,0.8319173038799207,0.275834302585667,0.6795633182088721,0.6230118069341741,0.6771212598127556,0.6220671818061863,7278,1147,0.38018686452322065,0.1857653201428964,0.4340478153338829,0.0025,0.00877,0.98873,0.38018686452322065,0.0025,0.6889840196482551,0.0,0.27370490091123506,0.6866373867188807,0.5223038002933551
124_rep1,0.8401513028859624,0.26496734779860964,0.6760369535057728,0.6215696038063998,0.6761526311268383,0.621969169384269,7475,827,0.374314381270903,0.22729096989966555,0.39839464882943143,0.00324,0.01233,0.98443,0.374314381270903,0.00324,0.6857181732441472,0.0,0.3058129228385849,0.6704352640057275,0.5175283348523697
128_rep1,0.8357426303854876,0.2745624121630254,0.6813495192054222,0.6231254898127006,0.6747691426426149,0.6218152289351959,7079,1065,0.3670009888402317,0.2175448509676508,0.4154541601921175,0.0037,0.01154,0.98476,0.3670009888402317,0.0037,0.6817964987992654,0.0,0.28203660405497055,0.6763714888500819,0.5152314757910995
128_rep2,0.8396935735565328,0.281602172437203,0.675666534524699,0.6221790814568473,0.6778863525966861,0.6217596991854936,7301,1068,0.35871798383783043,0.21024517189426106,0.4310368442679085,0.00282,0.00911,0.98807,0.35871798383783043,0.00282,0.6780979269963019,0.0,0.27985694379196085,0.6866696672393635,0.5232180676312078
128_rep3,0.8441648230088495,0.2536855036855037,0.6778014734855965,0.6230147785000119,0.6726463887394787,0.6216816493288949,7324,659,0.383806663025669,0.2288367012561442,0.3873566357181868,0.0044,0.01526,0.98034,0.383806663025669,0.0044,0.6899530563899509,0.0,0.2829370414161886,0.632566866757729,0.48877312321182165
128_rep4,0.8501852105913019,0.24102564102564103,0.6776075017625077,0.6221742793390183,0.6702261969816488,0.6213571249612783,7229,453,0.4309033061280952,0.238207220915756,0.33088947295614884,0.00481,0.02075,0.97444,0.4309033061280952,0.00481,0.7133757456079679,0.0,0.2596473589459366,0.6094878724054157,0.4751285169795803
132_rep1,0.8282727012317388,0.28123390909516455,0.6771284462879261,0.6222928151734882,0.678788855345821,0.6221624234805776,7337,1246,0.33869428921902683,0.21221207578029166,0.4490936350006815,0.00259,0.00829,0.98912,0.33869428921902683,0.00259,0.6681376052882649,0.0,0.2989342060614897,0.7090851324918366,0.5369867210219892
160_rep1,0.8368524774774775,0.27153372648616075,0.6779082224422615,0.6215490545888264,0.6754520845561263,0.6220969210084885,7383,900,0.3581200054178518,0.22348638764729784,0.41839360693485034,0.00305,0.01057,0.98638,0.3581200054178518,0.00305,0.6776849315996207,0.0,0.283297521701115,0.6638185736200594,0.5089350950330879
192_rep1,0.847162181006833,0.26751339551498315,0.6783689154493397,0.6218684467951288,0.6725873968402176,0.6215888227685625,7110,741,0.3721518987341772,0.2142053445850914,0.41364275668073136,0.00372,0.01305,0.98323,0.3721518987341772,0.00372,0.684430947257384,0.0,0.2797137116827466,0.6474449414224392,0.5061558076457809
256_rep1,0.8527777777777777,0.15989799773328295,0.6840924554933034,0.6225755845147569,0.6570834884019819,0.6206267616164722,6035,91,0.5468102734051367,0.2772162386081193,0.175973487986744,0.01715,0.09467,0.88818,0.5468102734051367,0.01715,0.7666230704225352,0.0,0.2129283087529661,0.5022698670056972,0.41188986499090047
512_rep1,0.8490319204604919,0.027828796408288413,0.7155692000997809,0.6270446605958107,0.6441947952184923,0.6194349621108461,3406,3,0.8746330005871991,0.12184380504991192,0.0035231943628890195,0.32217,0.6266,0.05123,0.8746330005871991,0.32217,0.8437148091603054,0.0,0.18095774896074432,0.4506619095588145,0.37463091473185595
