stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token,cluster,keep_specific,keep_general
R-HSA-168276,NS1 Mediated Effects on Host Pathways,0.0012751691026002,7,48,2,8,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,0.0020091955076245,6,46,3,3,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,0.0020091955076245,6,47,9,9,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,False
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.0020091955076245,14,317,46,52,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,False
R-HSA-168325,Viral Messenger RNA Synthesis,0.0020091955076245,7,69,3,6,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-2980766,Nuclear Envelope Breakdown,0.0020091955076245,7,65,5,13,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,False
R-HSA-194315,Signaling by Rho GTPases,0.0020091955076245,22,708,52,203,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,False
R-HSA-1169408,ISG15 antiviral mechanism,0.0020091955076245,8,83,2,16,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-4615885,SUMOylation of DNA replication proteins,0.0022533945695132,6,50,2,8,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.0022533945695132,22,724,52,212,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,True
R-HSA-9013106,RHOC GTPase cycle,0.0027929337633448,7,79,3,6,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-8953854,Metabolism of RNA,0.0032139223142104,24,863,98,244,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,True
R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),0.0039192897215196,5,36,1,1,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-1855196,IP3 and IP4 transport between cytosol and nucleus,0.0039192897215196,5,37,3,3,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-1855229,IP6 and IP7 transport between cytosol and nucleus,0.0039192897215196,5,37,2,2,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-159227,Transport of the SLBP independent Mature mRNA,0.0039405632749165,5,39,3,3,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-1855170,IPs transport between nucleus and cytosol,0.0039405632749165,5,40,4,4,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-9012999,RHO GTPase cycle,0.0039405632749165,16,460,35,91,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,False
R-HSA-170822,Regulation of Glucokinase by Glucokinase Regulatory Protein,0.0039405632749165,5,40,1,5,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,0.0039405632749165,5,40,3,3,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-4085377,SUMOylation of SUMOylation proteins,0.0039405632749165,5,39,2,5,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-168255,Influenza Infection,0.0039405632749165,10,200,9,61,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,True
R-HSA-194441,Metabolism of non-coding RNA,0.0040518657868667,6,67,6,6,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,False
R-HSA-191859,snRNP Assembly,0.0040518657868667,6,67,6,6,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,0.0040518657868667,5,42,2,2,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-180746,Nuclear import of Rev protein,0.0040518657868667,5,41,2,7,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-3232142,SUMOylation of ubiquitinylation proteins,0.0043708067376013,5,43,1,3,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-180910,Vpr-mediated nuclear import of PICs,0.0046297979974538,5,44,1,2,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-68875,Mitotic Prophase,0.0046297979974538,8,134,7,34,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,True
R-HSA-165054,Rev-mediated nuclear export of HIV RNA,0.004669163913701,5,45,2,10,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-176033,Interactions of Vpr with host cellular proteins,0.0052603254901466,5,47,1,4,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,True
R-HSA-177243,Interactions of Rev with host cellular proteins,0.0052603254901466,5,47,4,16,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,True
R-HSA-9013026,RHOB GTPase cycle,0.0054773128401286,6,75,3,6,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-168271,Transport of Ribonucleoproteins into the Host Nucleus,0.005550114754921,5,48,1,4,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-9839923,Dengue Virus Infection,0.0061110462338658,14,411,11,142,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-4570464,SUMOylation of RNA binding proteins,0.0066774609032842,5,51,1,4,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,0.0075065180808991,6,81,5,24,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,0.0075695623440363,5,53,1,2,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-75153,Apoptotic execution phase,0.0078242980276103,5,54,8,57,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,True
R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,0.0078242980276103,5,54,1,5,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,False,False
R-HSA-8980692,RHOA GTPase cycle,0.0079041537700991,8,154,3,6,MjAyNjA5MTMxMzA0NDFfMjMwOTY%3D,0,True,False
R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,0.0008108862753952,10,184,30,132,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,False,False
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.0008108862753952,13,317,44,52,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,False,True
R-HSA-2990846,SUMOylation,0.000817049365034,10,193,30,141,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,False,True
R-HSA-72163,mRNA Splicing - Major Pathway,0.0014332979903369,10,213,10,11,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,True,False
R-HSA-4839726,Chromatin organization,0.0017134022086549,13,389,36,150,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,False,True
R-HSA-72172,mRNA Splicing,0.0017134022086549,10,224,15,16,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,False,False
R-HSA-9932444,ATP-dependent chromatin remodelers,0.0026433003774833,9,196,29,65,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,False,False
R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,0.0036383464657573,6,81,9,24,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,True,False
R-HSA-9937848,CHD chromatin remodelers,0.0038627165112169,8,165,22,44,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,True,False
R-HSA-75955,RNA Polymerase II Transcription Elongation,0.006825175476071,5,61,8,8,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,False,True
R-HSA-112382,Formation of RNA Pol II elongation complex ,0.006825175476071,5,60,2,2,MjAyNjA5MTMxMzA0NDlfMjMwOTc%3D,1,True,False
R-HSA-9839923,Dengue Virus Infection,6.307430133745129e-10,25,411,15,142,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9918481,Dengue Virus-Host Interactions,3.053415298381878e-09,20,273,7,59,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-8953854,Metabolism of RNA,8.414738572604108e-09,33,863,70,244,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-156842,Eukaryotic Translation Elongation,1.3214731531263624e-08,13,102,8,9,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9824446,Viral Infection Pathways,1.4400018955029736e-08,42,1407,75,899,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-72187,mRNA 3'-end processing,2.6405530428874613e-08,15,164,14,21,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9770562,mRNA Polyadenylation,2.794061870758924e-08,14,139,13,20,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-114608,Platelet degranulation ,3.2140146100090305e-08,14,142,4,11,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,5.2623984281297e-08,14,149,4,14,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-72163,mRNA Splicing - Major Pathway,6.370036587100003e-08,16,213,11,11,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-8953897,Cellular responses to stimuli,8.641360760286433e-08,36,1166,86,613,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-72172,mRNA Splicing,1.078845209834256e-07,16,224,16,16,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-5663205,Infectious disease,1.479485796096469e-07,48,1965,103,1227,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-156902,Peptide chain elongation,4.0159044978338443e-07,11,97,5,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-376176,Signaling by ROBO receptors,5.713307027477299e-07,15,222,9,60,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9675108,Nervous system development,5.713307027477299e-07,24,603,39,322,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-1643685,Disease,1.2626117251723912e-06,61,3093,198,2176,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,True
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,1.4216008379364098e-06,17,317,44,52,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-2262752,Cellular responses to stress,2.050672481601623e-06,31,1039,67,521,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9692914,SARS-CoV-1-host interactions,3.333446401576623e-06,11,124,8,50,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9948299,Ribosome-associated quality control,3.364896225988012e-06,12,155,20,20,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,False,False
R-HSA-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,4.057765312648343e-06,10,100,3,3,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),4.266880464953715e-06,10,101,1,1,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-9954716,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,5.829906070564661e-06,10,105,4,4,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-72764,Eukaryotic Translation Termination,5.941237072870642e-06,10,106,3,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
R-HSA-72689,Formation of a pool of free 40S subunits,5.941237072870642e-06,10,106,2,2,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D,2,True,False
