LeidenCluster,Acetylation,Carboxylation,Citrullination,Dehydration,Dimethylation,HNE,Methylation,Phosphorylation,Succinylation,Trimethylation,Ubiquitination
0,0,0,1,0,0,0,0,314,0,0,0
1,0,0,4,1,0,0,0,285,0,0,0
2,8,1,59,48,12,7,30,76,2,8,17
3,0,0,5,2,0,5,0,213,0,0,0
4,0,0,0,1,0,0,211,2,0,0,0
5,0,0,3,0,0,1,0,199,0,0,0
6,1,0,8,0,0,1,0,162,0,0,0
7,0,0,4,1,0,0,0,150,0,0,0
8,1,0,3,0,0,0,1,146,0,0,0
9,2,0,3,1,3,0,136,2,0,0,1
10,1,0,1,0,0,0,0,126,0,0,0
11,0,3,1,0,0,1,2,119,0,0,0
12,7,2,20,4,2,2,2,82,0,0,1
13,0,0,0,0,0,0,0,121,0,0,0
14,0,0,3,1,0,0,1,107,0,0,0
15,0,0,0,0,0,0,1,106,0,0,0
16,1,6,7,1,0,0,75,12,0,0,1
17,0,0,1,0,0,0,0,99,0,1,0
18,0,0,2,0,0,0,0,98,0,0,0
19,0,0,0,0,0,0,97,0,0,0,0
20,0,0,0,0,0,0,91,3,0,0,0
21,0,0,1,1,0,0,0,90,0,1,0
22,0,0,0,0,0,0,0,92,0,0,0
23,0,0,0,0,0,0,0,92,0,0,0
24,36,0,22,1,0,0,24,4,0,0,0
25,0,0,11,0,0,3,0,67,0,1,0
26,0,0,1,1,0,1,0,73,0,0,0
27,0,0,0,0,0,1,0,74,0,0,0
28,3,5,2,7,1,3,1,51,1,0,0
29,0,0,1,0,0,4,0,65,0,0,0
30,0,0,1,0,0,0,0,68,0,0,0
31,0,1,4,0,0,1,0,62,0,0,0
32,0,0,2,0,0,0,0,65,0,0,0
33,0,0,0,0,0,0,1,66,0,0,0
34,0,0,3,0,0,0,0,63,0,0,0
35,0,0,2,0,0,0,0,61,0,0,0
36,0,0,2,0,0,0,0,55,0,0,0
37,0,0,1,1,0,0,0,55,0,0,0
38,0,0,2,0,0,0,0,55,0,0,0
39,0,0,6,0,0,1,0,45,0,0,0
40,0,0,3,0,0,2,0,46,0,0,0
41,0,0,0,0,0,0,0,43,0,0,0
42,0,0,1,0,0,0,0,41,0,0,0
