LeidenCluster,Acetylation,Carboxylation,Citrullination,Dehydration,Dimethylation,HNE,Methylation,Phosphorylation,Succinylation,Trimethylation,Ubiquitination
0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,99.68,0.0,0.0,0.0
1,0.0,0.0,1.38,0.34,0.0,0.0,0.0,98.28,0.0,0.0,0.0
2,2.99,0.37,22.01,17.91,4.48,2.61,11.19,28.36,0.75,2.99,6.34
3,0.0,0.0,2.22,0.89,0.0,2.22,0.0,94.67,0.0,0.0,0.0
4,0.0,0.0,0.0,0.47,0.0,0.0,98.6,0.93,0.0,0.0,0.0
5,0.0,0.0,1.48,0.0,0.0,0.49,0.0,98.03,0.0,0.0,0.0
6,0.58,0.0,4.65,0.0,0.0,0.58,0.0,94.19,0.0,0.0,0.0
7,0.0,0.0,2.58,0.65,0.0,0.0,0.0,96.77,0.0,0.0,0.0
8,0.66,0.0,1.99,0.0,0.0,0.0,0.66,96.69,0.0,0.0,0.0
9,1.35,0.0,2.03,0.68,2.03,0.0,91.89,1.35,0.0,0.0,0.68
10,0.78,0.0,0.78,0.0,0.0,0.0,0.0,98.44,0.0,0.0,0.0
11,0.0,2.38,0.79,0.0,0.0,0.79,1.59,94.44,0.0,0.0,0.0
12,5.74,1.64,16.39,3.28,1.64,1.64,1.64,67.21,0.0,0.0,0.82
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
14,0.0,0.0,2.68,0.89,0.0,0.0,0.89,95.54,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.93,99.07,0.0,0.0,0.0
16,0.97,5.83,6.8,0.97,0.0,0.0,72.82,11.65,0.0,0.0,0.97
17,0.0,0.0,0.99,0.0,0.0,0.0,0.0,98.02,0.0,0.99,0.0
18,0.0,0.0,2.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,96.81,3.19,0.0,0.0,0.0
21,0.0,0.0,1.08,1.08,0.0,0.0,0.0,96.77,0.0,1.08,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
24,41.38,0.0,25.29,1.15,0.0,0.0,27.59,4.6,0.0,0.0,0.0
25,0.0,0.0,13.41,0.0,0.0,3.66,0.0,81.71,0.0,1.22,0.0
26,0.0,0.0,1.32,1.32,0.0,1.32,0.0,96.05,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,1.33,0.0,98.67,0.0,0.0,0.0
28,4.05,6.76,2.7,9.46,1.35,4.05,1.35,68.92,1.35,0.0,0.0
29,0.0,0.0,1.43,0.0,0.0,5.71,0.0,92.86,0.0,0.0,0.0
30,0.0,0.0,1.45,0.0,0.0,0.0,0.0,98.55,0.0,0.0,0.0
31,0.0,1.47,5.88,0.0,0.0,1.47,0.0,91.18,0.0,0.0,0.0
32,0.0,0.0,2.99,0.0,0.0,0.0,0.0,97.01,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,1.49,98.51,0.0,0.0,0.0
34,0.0,0.0,4.55,0.0,0.0,0.0,0.0,95.45,0.0,0.0,0.0
35,0.0,0.0,3.17,0.0,0.0,0.0,0.0,96.83,0.0,0.0,0.0
36,0.0,0.0,3.51,0.0,0.0,0.0,0.0,96.49,0.0,0.0,0.0
37,0.0,0.0,1.75,1.75,0.0,0.0,0.0,96.49,0.0,0.0,0.0
38,0.0,0.0,3.51,0.0,0.0,0.0,0.0,96.49,0.0,0.0,0.0
39,0.0,0.0,11.54,0.0,0.0,1.92,0.0,86.54,0.0,0.0,0.0
40,0.0,0.0,5.88,0.0,0.0,3.92,0.0,90.2,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
42,0.0,0.0,2.38,0.0,0.0,0.0,0.0,97.62,0.0,0.0,0.0
