LeidenCluster,n_events,n_proteins,n_ptm_types,tested
0,315,179,2,True
2,268,158,11,True
4,214,144,3,True
3,225,130,4,True
1,290,130,3,True
8,151,105,4,True
6,172,103,4,True
7,155,93,3,True
10,128,90,3,True
5,203,87,3,True
15,107,86,2,True
19,97,81,1,True
20,94,81,2,True
11,126,80,5,True
12,122,79,9,True
9,148,78,7,True
24,87,64,5,True
22,92,63,1,True
17,101,60,3,True
13,121,59,1,True
25,82,58,4,True
16,103,55,7,True
18,100,54,2,True
33,67,53,2,True
28,74,47,9,True
23,92,47,1,True
29,70,46,3,True
21,93,46,4,True
14,112,45,4,True
26,76,45,4,True
27,75,45,2,True
32,67,42,2,True
38,57,37,2,True
31,68,37,4,True
40,51,35,3,True
34,66,34,2,True
39,52,31,3,True
37,57,31,3,True
36,57,28,2,True
35,63,28,2,True
30,69,23,2,True
42,42,21,2,True
41,43,21,1,True
43,42,18,1,False
45,25,13,1,False
48,19,11,1,False
44,36,11,1,False
46,21,11,2,False
47,20,7,1,False
49,14,7,1,False
55,9,7,2,False
52,12,6,1,False
50,13,5,3,False
135,4,4,1,False
62,7,4,1,False
57,8,4,1,False
61,7,4,2,False
54,11,4,1,False
158,4,4,1,False
110,4,4,1,False
122,4,4,1,False
65,6,4,1,False
66,6,4,1,False
53,12,4,1,False
72,6,4,1,False
74,6,4,2,False
76,6,4,2,False
51,13,4,1,False
227,3,3,2,False
58,7,3,1,False
59,7,3,1,False
223,3,3,1,False
56,8,3,2,False
68,6,3,1,False
71,6,3,2,False
73,6,3,1,False
176,3,3,1,False
78,5,3,1,False
186,3,3,1,False
100,5,3,1,False
101,5,3,1,False
64,6,3,1,False
141,4,3,1,False
81,5,3,1,False
82,5,3,1,False
95,5,3,1,False
91,5,3,1,False
116,4,3,2,False
133,4,3,2,False
132,4,2,1,False
203,3,2,1,False
149,4,2,1,False
220,3,2,1,False
275,2,2,2,False
274,2,2,1,False
145,4,2,1,False
199,3,2,2,False
143,4,2,1,False
206,3,2,1,False
273,2,2,1,False
173,3,2,1,False
204,3,2,1,False
265,3,2,1,False
315,2,2,1,False
289,2,2,1,False
294,2,2,1,False
312,2,2,1,False
310,2,2,1,False
165,3,2,1,False
86,5,2,1,False
85,5,2,2,False
84,5,2,1,False
83,5,2,1,False
80,5,2,2,False
111,4,2,1,False
109,4,2,1,False
108,4,2,1,False
107,4,2,1,False
299,2,2,1,False
105,4,2,1,False
163,3,2,1,False
103,4,2,1,False
102,5,2,2,False
162,3,2,1,False
123,4,2,2,False
188,3,2,1,False
120,4,2,1,False
219,3,2,1,False
118,4,2,1,False
117,4,2,2,False
115,4,2,1,False
187,3,2,1,False
113,4,2,1,False
278,2,2,2,False
240,3,2,1,False
93,5,2,1,False
92,5,2,1,False
90,5,2,1,False
216,3,2,1,False
225,3,2,1,False
142,4,2,2,False
140,4,2,1,False
139,4,2,1,False
138,4,2,1,False
181,3,2,2,False
291,2,2,2,False
63,7,2,1,False
60,7,2,1,False
131,4,2,1,False
130,4,2,1,False
297,2,2,1,False
128,4,2,1,False
79,5,2,1,False
126,4,2,1,False
125,4,2,1,False
124,4,2,2,False
77,6,2,1,False
237,3,2,1,False
70,6,2,1,False
69,6,2,1,False
154,4,2,1,False
67,6,2,1,False
152,4,2,1,False
151,4,2,1,False
305,2,2,1,False
304,2,2,1,False
303,2,2,1,False
300,2,2,1,False
346,2,2,1,False
343,2,2,2,False
362,2,2,1,False
361,2,2,2,False
360,2,2,1,False
359,2,2,1,False
358,2,2,1,False
357,2,2,1,False
349,2,2,1,False
364,2,2,1,False
395,2,2,1,False
394,2,2,1,False
392,2,2,1,False
408,2,2,1,False
407,2,2,2,False
406,2,2,1,False
402,2,2,1,False
400,2,2,1,False
399,2,2,1,False
398,2,2,1,False
427,2,2,1,False
426,2,2,1,False
424,2,2,1,False
422,2,2,1,False
421,2,2,1,False
419,2,2,1,False
415,2,2,1,False
413,2,2,1,False
443,2,2,1,False
441,2,2,1,False
434,2,2,1,False
432,2,2,1,False
430,2,2,1,False
428,2,2,1,False
452,2,2,1,False
450,2,2,1,False
446,2,2,1,False
444,2,2,1,False
96,5,2,1,False
146,4,1,1,False
144,4,1,1,False
175,3,1,1,False
174,3,1,1,False
172,3,1,1,False
171,3,1,2,False
170,3,1,1,False
169,3,1,1,False
168,3,1,1,False
167,3,1,2,False
166,3,1,1,False
164,3,1,1,False
161,3,1,1,False
160,3,1,1,False
185,3,1,1,False
184,3,1,1,False
183,3,1,1,False
182,3,1,1,False
180,3,1,1,False
179,3,1,1,False
178,3,1,1,False
177,3,1,1,False
75,6,1,1,False
202,3,1,1,False
201,3,1,1,False
200,3,1,1,False
198,3,1,1,False
197,3,1,1,False
196,3,1,1,False
195,3,1,1,False
194,3,1,1,False
193,3,1,1,False
192,3,1,1,False
191,3,1,1,False
190,3,1,1,False
189,3,1,1,False
218,3,1,1,False
217,3,1,1,False
215,3,1,1,False
214,3,1,1,False
213,3,1,1,False
212,3,1,1,False
211,3,1,1,False
210,3,1,1,False
209,3,1,1,False
208,3,1,1,False
207,3,1,1,False
205,3,1,1,False
235,3,1,1,False
234,3,1,1,False
233,3,1,1,False
232,3,1,2,False
231,3,1,1,False
230,3,1,1,False
229,3,1,1,False
228,3,1,1,False
226,3,1,1,False
224,3,1,1,False
222,3,1,1,False
221,3,1,1,False
251,3,1,1,False
250,3,1,1,False
249,3,1,1,False
248,3,1,1,False
247,3,1,1,False
246,3,1,1,False
245,3,1,1,False
244,3,1,1,False
243,3,1,2,False
242,3,1,1,False
241,3,1,1,False
239,3,1,1,False
238,3,1,1,False
236,3,1,1,False
267,2,1,1,False
266,2,1,1,False
264,3,1,1,False
263,3,1,1,False
262,3,1,1,False
261,3,1,1,False
260,3,1,1,False
259,3,1,1,False
258,3,1,1,False
257,3,1,1,False
256,3,1,1,False
255,3,1,1,False
254,3,1,1,False
253,3,1,1,False
252,3,1,1,False
283,2,1,1,False
282,2,1,1,False
281,2,1,1,False
280,2,1,1,False
279,2,1,1,False
277,2,1,1,False
276,2,1,1,False
272,2,1,1,False
271,2,1,1,False
270,2,1,1,False
269,2,1,1,False
268,2,1,1,False
298,2,1,1,False
296,2,1,1,False
295,2,1,1,False
293,2,1,1,False
292,2,1,1,False
290,2,1,1,False
288,2,1,1,False
287,2,1,1,False
286,2,1,1,False
285,2,1,1,False
284,2,1,1,False
314,2,1,1,False
313,2,1,1,False
311,2,1,1,False
309,2,1,1,False
308,2,1,1,False
307,2,1,1,False
306,2,1,1,False
530,2,1,1,False
508,2,1,1,False
555,2,1,1,False
302,2,1,1,False
301,2,1,1,False
554,2,1,1,False
331,2,1,1,False
330,2,1,1,False
329,2,1,1,False
328,2,1,1,False
327,2,1,1,False
326,2,1,1,False
325,2,1,1,False
324,2,1,1,False
323,2,1,1,False
322,2,1,1,False
321,2,1,1,False
320,2,1,1,False
319,2,1,1,False
318,2,1,1,False
317,2,1,1,False
316,2,1,1,False
347,2,1,1,False
553,2,1,1,False
345,2,1,1,False
344,2,1,1,False
552,2,1,1,False
342,2,1,1,False
341,2,1,1,False
340,2,1,1,False
339,2,1,1,False
338,2,1,1,False
337,2,1,1,False
336,2,1,1,False
335,2,1,1,False
334,2,1,1,False
333,2,1,1,False
332,2,1,1,False
363,2,1,1,False
551,2,1,1,False
550,2,1,1,False
549,2,1,1,False
548,2,1,1,False
547,2,1,1,False
546,2,1,1,False
356,2,1,1,False
355,2,1,1,False
354,2,1,1,False
353,2,1,1,False
352,2,1,1,False
351,2,1,1,False
350,2,1,1,False
545,2,1,1,False
348,2,1,1,False
379,2,1,1,False
378,2,1,1,False
377,2,1,1,False
376,2,1,1,False
375,2,1,1,False
374,2,1,1,False
373,2,1,1,False
372,2,1,1,False
371,2,1,1,False
370,2,1,1,False
369,2,1,1,False
368,2,1,1,False
367,2,1,1,False
366,2,1,1,False
365,2,1,1,False
544,2,1,1,False
527,2,1,1,False
526,2,1,1,False
393,2,1,1,False
525,2,1,1,False
391,2,1,1,False
390,2,1,1,False
389,2,1,1,False
388,2,1,1,False
387,2,1,1,False
386,2,1,1,False
385,2,1,1,False
384,2,1,1,False
383,2,1,1,False
382,2,1,1,False
381,2,1,1,False
380,2,1,1,False
411,2,1,1,False
410,2,1,1,False
409,2,1,1,False
524,2,1,1,False
87,5,1,1,False
106,4,1,1,False
405,2,1,1,False
404,2,1,1,False
403,2,1,1,False
104,4,1,1,False
401,2,1,2,False
99,5,1,1,False
121,4,1,1,False
119,4,1,2,False
397,2,1,1,False
396,2,1,1,False
114,4,1,1,False
112,4,1,1,False
425,2,1,1,False
94,5,1,1,False
423,2,1,1,False
89,5,1,1,False
88,5,1,1,False
420,2,1,1,False
137,4,1,1,False
418,2,1,1,False
417,2,1,1,False
416,2,1,1,False
136,4,1,2,False
414,2,1,1,False
134,4,1,1,False
412,2,1,1,False
529,2,1,1,False
442,2,1,1,False
129,4,1,1,False
440,2,1,1,False
439,2,1,1,False
438,2,1,1,False
437,2,1,1,False
436,2,1,1,False
435,2,1,1,False
127,4,1,1,False
433,2,1,1,False
159,3,1,1,False
431,2,1,1,False
157,4,1,1,False
429,2,1,1,False
156,4,1,1,False
459,2,1,1,False
458,2,1,1,False
457,2,1,1,False
456,2,1,1,False
455,2,1,1,False
454,2,1,1,False
453,2,1,1,False
155,4,1,1,False
451,2,1,1,False
153,4,1,1,False
449,2,1,1,False
448,2,1,1,False
447,2,1,1,False
150,4,1,1,False
445,2,1,1,False
148,4,1,1,False
475,2,1,1,False
474,2,1,1,False
473,2,1,1,False
472,2,1,1,False
471,2,1,1,False
470,2,1,1,False
469,2,1,1,False
468,2,1,1,False
467,2,1,2,False
466,2,1,1,False
465,2,1,1,False
464,2,1,1,False
463,2,1,1,False
462,2,1,1,False
461,2,1,1,False
460,2,1,1,False
491,2,1,1,False
490,2,1,1,False
489,2,1,1,False
488,2,1,1,False
487,2,1,2,False
486,2,1,1,False
485,2,1,1,False
484,2,1,1,False
483,2,1,1,False
482,2,1,1,False
481,2,1,1,False
480,2,1,1,False
479,2,1,1,False
478,2,1,1,False
477,2,1,1,False
476,2,1,1,False
507,2,1,1,False
506,2,1,1,False
505,2,1,1,False
504,2,1,1,False
503,2,1,1,False
502,2,1,1,False
501,2,1,1,False
500,2,1,1,False
499,2,1,1,False
498,2,1,1,False
497,2,1,1,False
496,2,1,1,False
495,2,1,1,False
494,2,1,1,False
493,2,1,1,False
492,2,1,1,False
98,5,1,1,False
97,5,1,1,False
147,4,1,1,False
543,2,1,1,False
542,2,1,1,False
541,2,1,1,False
540,2,1,1,False
539,2,1,1,False
538,2,1,1,False
537,2,1,1,False
536,2,1,1,False
535,2,1,1,False
534,2,1,1,False
533,2,1,1,False
532,2,1,1,False
531,2,1,1,False
523,2,1,1,False
522,2,1,1,False
521,2,1,1,False
520,2,1,1,False
519,2,1,1,False
518,2,1,1,False
517,2,1,1,False
516,2,1,1,False
515,2,1,1,False
514,2,1,1,False
513,2,1,1,False
512,2,1,1,False
511,2,1,1,False
510,2,1,1,False
509,2,1,1,False
528,2,1,1,False
