LeidenCluster,n_events,n_proteins,n_ptm_types,tested,dominant_PTM,percent,top_pathways
0,315,179,2,True,Phosphorylation,99.7,NS1 Mediated Effects on Host Pathways (FDR=1.3e-03); ISG15 antiviral mechanism (FDR=2.0e-03); Transport of Mature mRNA Derived from an Intronless Transcript (FDR=2.0e-03); Viral Messenger RNA Synthesis (FDR=2.0e-03); SUMOylation of DNA replication proteins (FDR=2.3e-03)
1,290,130,3,True,Phosphorylation,98.3,mRNA Splicing - Major Pathway (FDR=1.4e-03); SUMOylation of DNA damage response and repair proteins (FDR=3.6e-03); CHD chromatin remodelers (FDR=3.9e-03); Formation of RNA Pol II elongation complex  (FDR=6.8e-03)
2,268,158,11,True,Phosphorylation,28.4,Dengue Virus-Host Interactions (FDR=3.1e-09); mRNA Polyadenylation (FDR=2.8e-08); Platelet degranulation  (FDR=3.2e-08); mRNA Splicing - Major Pathway (FDR=6.4e-08); Peptide chain elongation (FDR=4.0e-07)
3,225,130,4,True,Phosphorylation,94.7,SUMOylation of ubiquitinylation proteins (FDR=1.5e-04); Vpr-mediated nuclear import of PICs (FDR=1.5e-04); SUMOylation of DNA damage response and repair proteins (FDR=3.1e-04); SUMOylation of chromatin organization proteins (FDR=6.1e-04); IP3 and IP4 transport between cytosol and nucleus (FDR=6.1e-04)
4,214,144,3,True,Methylation,98.6,Peptide chain elongation (FDR=6.9e-11); L13a-mediated translational silencing of Ceruloplasmin expression (FDR=6.9e-11); GTP hydrolysis and joining of the 60S ribosomal subunit (FDR=6.9e-11); Formation of a pool of free 40S subunits (FDR=1.7e-10); Response of EIF2AK4 (GCN2) to amino acid deficiency (FDR=4.3e-10)
5,203,87,3,True,Phosphorylation,98.0,mRNA Splicing - Major Pathway (FDR=9.8e-04); rRNA modification in the nucleus and cytosol (FDR=6.2e-03); Viral Infection Pathways (FDR=8.2e-03)
6,172,103,4,True,Phosphorylation,94.2,Processing of Capped Intron-Containing Pre-mRNA (FDR=6.1e-03); Chromatin organization (FDR=6.1e-03); Formation of RNA Pol II elongation complex  (FDR=6.1e-03)
7,155,93,3,True,Phosphorylation,96.8,RHOBTB2 GTPase cycle (FDR=2.1e-04); Cellular response to heat stress (FDR=1.5e-03); RHO GTPases activate PAKs (FDR=1.5e-03); Nuclear Envelope Breakdown (FDR=2.1e-03); Nuclear RNA decay (FDR=3.4e-03)
8,151,105,4,True,Phosphorylation,96.7,mRNA Polyadenylation (FDR=2.6e-03)
9,148,78,7,True,Methylation,91.9,Platelet degranulation  (FDR=3.4e-07); Inhibition of DNA recombination at telomere (FDR=4.0e-07); Apoptosis induced DNA fragmentation (FDR=5.7e-07); Condensation of Prophase Chromosomes (FDR=7.6e-07); Amyloid fiber formation (FDR=1.0e-06)
10,128,90,3,True,Phosphorylation,98.4,mRNA Splicing - Major Pathway (FDR=1.3e-03); mRNA Polyadenylation (FDR=1.7e-03); Dengue Virus-Host Interactions (FDR=1.7e-03); Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations (FDR=2.5e-03); Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations (FDR=2.5e-03)
11,126,80,5,True,Phosphorylation,94.4,mRNA Splicing - Major Pathway (FDR=8.8e-05); mRNA Polyadenylation (FDR=1.3e-04); Mitotic Prophase (FDR=6.5e-03)
