cluster,stId,name,entities_found,entities_tot,FDR_wholeproteome,K_network_annotated,N_network,p_network_raw,FDR_network
0,R-HSA-168276,NS1 Mediated Effects on Host Pathways,7,48,0.0012751691026002,15,1800,0.0002764657106596973,0.10519520290601482
0,R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,6,46,0.0020091955076245,17,1800,0.0043252061708250215,0.1828601053332134
0,R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,6,47,0.0020091955076245,18,1800,0.005960886290455467,0.2202293031350024
0,R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,14,317,0.0020091955076245,114,1800,0.23606361664236777,0.7438601331092238
0,R-HSA-168325,Viral Messenger RNA Synthesis,7,69,0.0020091955076245,13,1800,8.774500788040798e-05,0.06677395099699047
0,R-HSA-2980766,Nuclear Envelope Breakdown,7,65,0.0020091955076245,19,1800,0.0015302308822309103,0.16383920559253237
0,R-HSA-194315,Signaling by Rho GTPases,22,708,0.0020091955076245,201,1800,0.34455915945892934,0.7850584441564229
0,R-HSA-1169408,ISG15 antiviral mechanism,8,83,0.0020091955076245,23,1800,0.0010832912548738173,0.16383920559253237
0,R-HSA-4615885,SUMOylation of DNA replication proteins,6,50,0.0022533945695132,17,1800,0.0043252061708250215,0.1828601053332134
0,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",22,724,0.0022533945695132,201,1800,0.34455915945892934,0.7850584441564229
0,R-HSA-9013106,RHOC GTPase cycle,7,79,0.0027929337633448,25,1800,0.008706847186042374,0.2202293031350024
0,R-HSA-8953854,Metabolism of RNA,24,863,0.0032139223142104,234,1800,0.46930452644968357,0.8753449623240421
0,R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),5,36,0.0039192897215196,11,1800,0.0025835354364131253,0.16383920559253237
0,R-HSA-1855196,IP3 and IP4 transport between cytosol and nucleus,5,37,0.0039192897215196,11,1800,0.0025835354364131253,0.16383920559253237
0,R-HSA-1855229,IP6 and IP7 transport between cytosol and nucleus,5,37,0.0039192897215196,11,1800,0.0025835354364131253,0.16383920559253237
0,R-HSA-159227,Transport of the SLBP independent Mature mRNA,5,39,0.0039405632749165,13,1800,0.006096370479783312,0.2202293031350024
0,R-HSA-1855170,IPs transport between nucleus and cytosol,5,40,0.0039405632749165,11,1800,0.0025835354364131253,0.16383920559253237
0,R-HSA-9012999,RHO GTPase cycle,16,460,0.0039405632749165,124,1800,0.16150427078739388,0.6394073250571306
0,R-HSA-170822,Regulation of Glucokinase by Glucokinase Regulatory Protein,5,40,0.0039405632749165,11,1800,0.0025835354364131253,0.16383920559253237
0,R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,5,40,0.0039405632749165,14,1800,0.008730786010413579,0.2202293031350024
0,R-HSA-4085377,SUMOylation of SUMOylation proteins,5,39,0.0039405632749165,11,1800,0.0025835354364131253,0.16383920559253237
0,R-HSA-168255,Influenza Infection,10,200,0.0039405632749165,59,1800,0.06140715395941365,0.5925207192857301
0,R-HSA-194441,Metabolism of non-coding RNA,6,67,0.0040518657868667,17,1800,0.0043252061708250215,0.1828601053332134
0,R-HSA-191859,snRNP Assembly,6,67,0.0040518657868667,17,1800,0.0043252061708250215,0.1828601053332134
0,R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,5,42,0.0040518657868667,12,1800,0.004075801784131323,0.1828601053332134
0,R-HSA-180746,Nuclear import of Rev protein,5,41,0.0040518657868667,14,1800,0.008730786010413579,0.2202293031350024
0,R-HSA-3232142,SUMOylation of ubiquitinylation proteins,5,43,0.0043708067376013,14,1800,0.008730786010413579,0.2202293031350024
0,R-HSA-180910,Vpr-mediated nuclear import of PICs,5,44,0.0046297979974538,14,1800,0.008730786010413579,0.2202293031350024
0,R-HSA-68875,Mitotic Prophase,8,134,0.0046297979974538,42,1800,0.05036158088545741,0.5687885282784703
0,R-HSA-165054,Rev-mediated nuclear export of HIV RNA,5,45,0.004669163913701,15,1800,0.012059648815299572,0.2549275763456382
0,R-HSA-176033,Interactions of Vpr with host cellular proteins,5,47,0.0052603254901466,16,1800,0.01615651510916614,0.29274066662084364
0,R-HSA-177243,Interactions of Rev with host cellular proteins,5,47,0.0052603254901466,16,1800,0.01615651510916614,0.29274066662084364
0,R-HSA-9013026,RHOB GTPase cycle,6,75,0.0054773128401286,24,1800,0.02609153665105514,0.3960217157975737
0,R-HSA-168271,Transport of Ribonucleoproteins into the Host Nucleus,5,48,0.005550114754921,11,1800,0.0025835354364131253,0.16383920559253237
0,R-HSA-9839923,Dengue Virus Infection,14,411,0.0061110462338658,129,1800,0.4057438014019421,0.8447356628122183
0,R-HSA-4570464,SUMOylation of RNA binding proteins,5,51,0.0066774609032842,16,1800,0.01615651510916614,0.29274066662084364
0,R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,6,81,0.0075065180808991,26,1800,0.03777497584229353,0.5133349395711674
0,R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,5,53,0.0075695623440363,13,1800,0.006096370479783312,0.2202293031350024
0,R-HSA-75153,Apoptotic execution phase,5,54,0.0078242980276103,29,1800,0.15421510620738865,0.6394073250571306
0,R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,5,54,0.0078242980276103,14,1800,0.008730786010413579,0.2202293031350024
0,R-HSA-8980692,RHOA GTPase cycle,8,154,0.0079041537700991,36,1800,0.021603286616322544,0.37363866170503307
0,R-HSA-72202,Transport of Mature Transcript to Cytoplasm,6,90,0.0111388597162256,30,1800,0.06995957254903039,0.5925207192857301
0,R-HSA-68886,M Phase,13,403,0.013608671606474,110,1800,0.294090407694035,0.7850584441564229
0,R-HSA-4551638,SUMOylation of chromatin organization proteins,5,62,0.0137556503105256,22,1800,0.05976200001498755,0.5925207192857301
0,R-HSA-168273,Influenza Viral RNA Transcription and Replication,8,173,0.014976689812496,48,1800,0.09672047188122933,0.5925207192857301
0,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,7,135,0.0158204426255732,40,1800,0.09491485808750677,0.5925207192857301
0,R-HSA-111465,Apoptotic cleavage of cellular proteins,4,38,0.0158204426255732,20,1800,0.12985513250618236,0.6394073250571306
0,R-HSA-9770562,mRNA Polyadenylation,7,139,0.0181684628724916,61,1800,0.40462908556650895,0.8447356628122183
0,R-HSA-6784531,tRNA processing in the nucleus,5,70,0.020866526657338,15,1800,0.012059648815299572,0.2549275763456382
0,R-HSA-9675108,Nervous system development,16,603,0.0225347172691836,144,1800,0.35527941074447794,0.799904235433573
0,R-HSA-68882,Mitotic Anaphase,9,236,0.0242634991549361,66,1800,0.2030522355284264,0.6777313650751425
0,R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,10,284,0.024369656343729,68,1800,0.13074822998217175,0.6394073250571306
0,R-HSA-2555396,Mitotic Metaphase and Anaphase,9,237,0.0249652495737656,66,1800,0.2030522355284264,0.6777313650751425
0,R-HSA-9018519,Estrogen-dependent gene expression,7,153,0.0272979334324405,29,1800,0.02008424368201189,0.3554444056281639
0,R-HSA-9035034,RHOF GTPase cycle,4,46,0.0277185496437237,22,1800,0.16837715869864825,0.6394073250571306
0,R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,5,81,0.0318510651536312,24,1800,0.08212639779418157,0.5925207192857301
0,R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,7,159,0.0318510651536312,27,1800,0.013553613405874894,0.27876485951002145
0,R-HSA-9013148,CDC42 GTPase cycle,7,159,0.0318510651536312,40,1800,0.09491485808750677,0.5925207192857301
0,R-HSA-162599,Late Phase of HIV Life Cycle,7,161,0.033605206246946,31,1800,0.028545835666108653,0.4022848322575682
0,R-HSA-72187,mRNA 3'-end processing,7,164,0.0371845681652147,68,1800,0.5225156932725945,0.9204500985658436
0,R-HSA-69278,"Cell Cycle, Mitotic",15,587,0.0389115184418094,138,1800,0.39684592117283274,0.8447356628122183
0,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,14,536,0.0405703344896939,118,1800,0.2786195522773555,0.7654493836933847
0,R-HSA-6803529,FGFR2 alternative splicing,3,28,0.0497007592754057,7,1800,0.025043860294964616,0.3960217157975737
0,R-HSA-162587,HIV Life Cycle,7,176,0.0503107530289064,39,1800,0.08511839661519398,0.5925207192857301
0,R-HSA-9918481,Dengue Virus-Host Interactions,9,273,0.050469577449584,98,1800,0.6544298446865628,0.9394176589770045
0,R-HSA-141424,Amplification of signal from the kinetochores,5,94,0.050469577449584,24,1800,0.08212639779418157,0.5925207192857301
0,R-HSA-9013405,RHOD GTPase cycle,4,57,0.050469577449584,22,1800,0.16837715869864825,0.6394073250571306
0,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,5,94,0.050469577449584,24,1800,0.08212639779418157,0.5925207192857301
0,R-HSA-3371556,Cellular response to heat stress,6,135,0.051221086784329,40,1800,0.20070731519755533,0.6758330392271663
0,R-HSA-9824446,Viral Infection Pathways,27,1407,0.0536706972030388,289,1800,0.6790697992905373,0.9394176589770045
0,R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,7,184,0.0541305311177509,55,1800,0.3029221769490652,0.7850584441564229
0,R-HSA-2467813,Separation of Sister Chromatids,7,182,0.0541305311177509,51,1800,0.23854594062322182,0.7438601331092238
0,R-HSA-422475,Axon guidance,14,566,0.0541305311177509,137,1800,0.5011212265239723,0.916714551405632
0,R-HSA-400685,Sema4D in semaphorin signaling,3,31,0.0548375304668546,10,1800,0.06871052614184833,0.5925207192857301
0,R-HSA-2470946,Cohesin Loading onto Chromatin,2,10,0.0591831524704378,6,1800,0.11289816596114438,0.5925207192857301
0,R-HSA-428890,Role of ABL in ROBO-SLIT signaling,2,10,0.0591831524704378,6,1800,0.11289816596114438,0.5925207192857301
0,R-HSA-9013423,RAC3 GTPase cycle,5,100,0.0592421778725582,29,1800,0.15421510620738865,0.6394073250571306
0,R-HSA-9013406,RHOQ GTPase cycle,4,63,0.060084966336662,24,1800,0.21036618001030807,0.6960376651645411
0,R-HSA-9013149,RAC1 GTPase cycle,7,191,0.0646366704097434,45,1800,0.15266625970467962,0.6394073250571306
0,R-HSA-2990846,SUMOylation,7,193,0.0666386456280233,55,1800,0.3029221769490652,0.7850584441564229
0,R-HSA-5663220,RHO GTPases Activate Formins,6,149,0.0666386456280233,41,1800,0.21706049338914443,0.715078075623978
0,R-HSA-9705683,SARS-CoV-2-host interactions,8,247,0.0680709638265498,51,1800,0.12676764996490672,0.6394073250571306
0,R-HSA-3371453,Regulation of HSF1-mediated heat shock response,5,113,0.0782613710835082,28,1800,0.13810553113030963,0.6394073250571306
0,R-HSA-69618,Mitotic Spindle Checkpoint,5,111,0.0782613710835082,26,1800,0.10833112848959514,0.5925207192857301
0,R-HSA-373755,Semaphorin interactions,4,71,0.0782613710835082,22,1800,0.16837715869864825,0.6394073250571306
0,R-HSA-70171,Glycolysis,5,111,0.0782613710835082,25,1800,0.09476263759588326,0.5925207192857301
0,R-HSA-162582,Signal Transduction,48,3056,0.0782613710835082,414,1800,0.11900175227030199,0.620276256696574
0,R-HSA-2468052,Establishment of Sister Chromatid Cohesion,2,13,0.0782613710835082,5,1800,0.08040782904811068,0.5925207192857301
0,R-HSA-1640170,Cell Cycle,16,729,0.0782613710835082,165,1800,0.5868157288668352,0.9394176589770045
0,R-HSA-8939211,ESR-mediated signaling,8,257,0.0782613710835082,47,1800,0.08771217059138142,0.5925207192857301
0,R-HSA-9930044,Nuclear RNA decay,3,39,0.0818070569602023,10,1800,0.06871052614184833,0.5925207192857301
0,R-HSA-9918487,Dengue Virus Genome Translation and Replication,5,116,0.0862760408615548,29,1800,0.15421510620738865,0.6394073250571306
0,R-HSA-5696394,DNA Damage Recognition in GG-NER,3,40,0.0875437572552293,12,1800,0.10880983709584768,0.5925207192857301
0,R-HSA-68877,Mitotic Prometaphase,7,212,0.0883157637339833,56,1800,0.3195917220178759,0.7850584441564229
0,R-HSA-72163,mRNA Splicing - Major Pathway,7,213,0.0904318107387185,84,1800,0.7477472280314319,0.9595879266980095
0,R-HSA-9734779,Developmental Cell Lineages of the Integumentary System,5,122,0.092084220112961,11,1800,0.0025835354364131253,0.16383920559253237
0,R-HSA-195258,RHO GTPase Effectors,9,325,0.092084220112961,94,1800,0.6026402795227987,0.9394176589770045
0,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,5,121,0.092084220112961,35,1800,0.26423451976605294,0.7438601331092238
0,R-HSA-68884,Mitotic Telophase/Cytokinesis,2,15,0.092084220112961,7,1800,0.14803988822761632,0.6394073250571306
0,R-HSA-416550,Sema4D mediated inhibition of cell attachment and migration,2,15,0.092084220112961,2,1800,0.009839416960039529,0.2202293031350024
0,R-HSA-9609690,HCMV Early Events,7,215,0.092084220112961,36,1800,0.05939965057923444,0.5925207192857301
0,R-HSA-9696264,RND3 GTPase cycle,3,43,0.0928571817304743,15,1800,0.18126953781174757,0.6394073250571306
0,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,14,634,0.0958797850581385,102,1800,0.12814237258012923,0.6394073250571306
