stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-8953854,Metabolism of RNA,0.004885015014041705,13,863,42,244,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-72163,mRNA Splicing - Major Pathway,0.07046712725974014,5,213,10,11,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-72172,mRNA Splicing,0.07046712725974014,5,224,10,16,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-3214815,HDACs deacetylate histones,0.07046712725974014,3,63,3,5,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.07046712725974014,6,317,25,52,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-212165,Epigenetic regulation of gene expression,0.07046712725974014,6,345,16,118,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,0.07046712725974014,5,184,5,132,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-2990846,SUMOylation,0.07046712725974014,5,193,5,141,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-9824446,Viral Infection Pathways,0.07046712725974014,13,1407,12,899,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-6790901,rRNA modification in the nucleus and cytosol,0.08767481645409436,3,71,1,8,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-9918481,Dengue Virus-Host Interactions,0.11544124844276316,5,273,3,59,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-9839923,Dengue Virus Infection,0.1263304780061768,6,411,4,142,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
R-HSA-9006821,Alternative Lengthening of Telomeres (ALT),0.13243349006878824,1,2,2,2,MjAyNjA5MTMxMzA2MzZfMjMxMDk%3D
